ticker,title,sector_relevance,trade_date,open_yes_price,close_yes_price,vwap_yes_price,daily_volume,n_trades,close_time,volume
538APPROVE-24OCT02-B40.3,Will the President's approval rating on 538 be between 40.1 and 40.5?,Election outcome (all sectors),2024-09-26,21,21,21.0,10.0,1,2024-10-03 11:59:00+08:00,1166
538APPROVE-24OCT02-B40.3,Will the President's approval rating on 538 be between 40.1 and 40.5?,Election outcome (all sectors),2024-09-27,17,11,16.675555555555555,225.0,6,2024-10-03 11:59:00+08:00,1166
538APPROVE-24OCT02-B40.3,Will the President's approval rating on 538 be between 40.1 and 40.5?,Election outcome (all sectors),2024-10-02,1,14,12.456026058631922,921.0,24,2024-10-03 11:59:00+08:00,1166
538APPROVE-24OCT02-B40.3,Will the President's approval rating on 538 be between 40.1 and 40.5?,Election outcome (all sectors),2024-10-03,3,3,3.0,10.0,1,2024-10-03 11:59:00+08:00,1166
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-09-26,29,34,32.5,280.0,4,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-09-27,23,14,10.644526445264452,813.0,9,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-09-28,20,22,19.368821292775664,263.0,3,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-09-30,19,19,19.0,4.0,1,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-10-01,8,8,8.0,33.0,2,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-10-02,6,84,39.87387862796834,1895.0,82,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B40.8,Will the President's approval rating on 538 be between 40.6 and 41.0?,Election outcome (all sectors),2024-10-03,98,99,98.7560975609756,123.0,5,2024-10-03 11:59:00+08:00,3411
538APPROVE-24OCT02-B41.3,Will the President's approval rating on 538 be between 41.1 and 41.5?,Election outcome (all sectors),2024-09-26,24,25,24.083333333333332,120.0,5,2024-10-03 11:59:00+08:00,2664
