group,etf,member,date,dprob,etfret,sign
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0009631128549543178,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0050000000000000044,-0.00043328599960545944,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0050000000000000044,2.407637024770537e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00026487196003532887,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0007950370833764708,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00021693804093647628,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00045813491668678097,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0015205824587312122,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0025394535685885344,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.001939159497489129,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0006795951816132018,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00036425891926494813,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0002915026984640079,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,-0.010000000000000009,0.002547772078798971,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0006783110316037622,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-7.265417825230713e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-2.4219232494182563e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0012359592979818146,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0002667086950722819,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0006785740511938698,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,8.478938926437252e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0006901603988707095,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0005569344535265586,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.0002906976764656122,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0050000000000000044,0.00036335889357275164,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-2.4219819079185356e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00024223045924198772,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00029075402414591167,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,-0.00024235961438012765,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,-0.014999999999999986,0.00024235961438012765,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0003392048102695,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.014999999999999986,-0.0006542837643896959,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.0001939064892031439,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-04,0.0,0.00016963734000885466,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.002255393891588575,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.03,0.002274488011133613,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0050000000000000044,0.0015456326887060001,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0050000000000000044,-0.000675920363694793,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.0004104347043947243,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.00183282740740065,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.009999999999999981,0.000602170239674571,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,-0.0016628713660740146,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,-0.00012060543945224822,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.0009162367424986329,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.0002891635963182537,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.010000000000000009,2.4093192469543112e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.01999999999999999,0.0002168126145258853,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.0003371706597139479,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,4.8157958111971766e-05,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,-0.035,-0.0001926457491450151,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.035,0.0005056159593426202,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.00036099780183462826,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.00019247888806539493,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.020000000000000018,0.00014433485711862204,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.0,0.0006973249455999309,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.01999999999999999,-0.0006011132798606766,1
ELECTION_trump_fav,VAW,KXECDJT281,2024-11-05,0.024999999999999994,-0.0007458826422821474,1
