contract_ticker,etf,n_obs,coef,abs_coef,std_coef,t_stat,p_value,r_squared,sector_relevance,contract_title
KXECKH276,VFH,10,-0.418229499484617,0.418229499484617,-0.938965615863252,-7.720089680401331,5.637770426993046e-05,0.8816564277734555,Election outcome (all sectors),"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,13,-0.3399738537214432,0.3399738537214432,-0.8892317602210448,-6.447050353090525,4.7614112705540086e-05,0.7907331233858175,Election outcome (all sectors),"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VIS,10,-0.24578104228610115,0.24578104228610115,-0.874535261438307,-5.100522507977093,0.0009292503827680504,0.7648119234989674,Election outcome (all sectors),"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH319,VFH,15,-0.38991839905803855,0.38991839905803855,-0.8616086615852325,-6.120446162896818,3.657709261323658e-05,0.7423694857186961,Election outcome (all sectors),Will Harris win 319-219 - swing state sweep?
KXECDJT281,VFH,15,-0.2713402162101368,0.2713402162101368,-0.8603214033696075,-6.085180723658594,3.8720021476453417e-05,0.7401529170958508,Election outcome (all sectors),"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT312,VFH,25,0.07816646191402585,0.07816646191402585,0.8383244775666028,7.374674281409653,1.683166788405453e-07,0.7027879296873167,Election outcome (all sectors),Will Trump win 312-226 - swing state sweep?
538APPROVEMAX-24OCT31-T43,VOX,10,0.3241823049309006,0.3241823049309006,0.8371493681008945,4.328934247657082,0.0025155910152575576,0.7008190645117267,Election outcome (all sectors),"Will the President's approval rating ever get above 43% by Oct 31, 2024?"
KXAAAGASM-24NOV30-US-3.30,VFH,11,0.6837144138160017,0.6837144138160017,0.8365991247943253,4.581464069594948,0.001325048723484368,0.6998980956066312,VDE (Energy),Will average **gas prices** be above $3.30?
KXECKH287,VFH,10,-0.2006756439663482,0.2006756439663482,-0.8363806474566313,-4.315690386953014,0.00256091404885793,0.6995325874399736,Election outcome (all sectors),"Will Harris win 287-251 - PA, NV, MI, WI, AZ?"
RATECUT-24SEP18,VCR,11,-1.1147524022143172,1.1147524022143172,-0.8259594447368543,-4.395509110317569,0.0017316356110741997,0.6822090043500123,VFH_VNQ_VPU (Rate-sensitive: Financials / Real Estate / Utilities),"Will the Federal Reserve cut rates before September 19, 2024?"
