date,ts_et,implied_p_A_sign_equal,implied_p_B_beta_weighted,implied_p_C_min_variance
2024-10-04,2024-10-04 09:31:00,0.447,0.447,0.447
2024-10-04,2024-10-04 09:32:00,0.43499423579333774,0.43776143462833106,0.5171363799331244
2024-10-04,2024-10-04 09:33:00,0.43199866961919664,0.4305845746714547,0.6041503817055582
2024-10-04,2024-10-04 09:34:00,0.4417365267620184,0.43891184492148244,0.6329482740565526
2024-10-04,2024-10-04 09:35:00,0.3895364119247623,0.4149844674203259,0.7854862300491463
2024-10-04,2024-10-04 09:36:00,0.36491499077577844,0.4136845648874775,0.8197624568899592
2024-10-04,2024-10-04 09:37:00,0.3357620975633004,0.39922958361696564,0.7889207344917142
2024-10-04,2024-10-04 09:38:00,0.29235425301447193,0.386379930639394,0.7881524979461547
2024-10-04,2024-10-04 09:39:00,0.31706783466280286,0.3959974764785119,0.7442435877395018
2024-10-04,2024-10-04 09:40:00,0.3152671803751395,0.38839054481607005,0.7995709749923701
2024-10-04,2024-10-04 09:41:00,0.32943630950284375,0.38958740688337046,0.8107409125397962
2024-10-04,2024-10-04 09:42:00,0.352560950360149,0.3988449710885859,0.7717739756562936
2024-10-04,2024-10-04 09:43:00,0.3602096162454036,0.3978758958094637,0.8121045017713266
2024-10-04,2024-10-04 09:44:00,0.3652538970828873,0.39573780048134666,0.8748383159022541
2024-10-04,2024-10-04 09:45:00,0.3917099060948711,0.40198066171179686,0.8759650648419355
2024-10-04,2024-10-04 09:46:00,0.4026868222570197,0.41563632302394593,0.7917815347438206
2024-10-04,2024-10-04 09:47:00,0.440136221460901,0.4412373225061888,0.6515159343333911
2024-10-04,2024-10-04 09:48:00,0.46000263857906676,0.4486291580952031,0.662053788707661
2024-10-04,2024-10-04 09:49:00,0.4479188846998633,0.4511762373244533,0.6467645596576171
2024-10-04,2024-10-04 09:50:00,0.43052256145165485,0.44168918205614954,0.7186675334944164
2024-10-04,2024-10-04 09:51:00,0.43448807522831856,0.4439734951751565,0.6536537177282976
2024-10-04,2024-10-04 09:52:00,0.45274682772624114,0.4469462677633394,0.6517588232293191
2024-10-04,2024-10-04 09:53:00,0.47761417611528195,0.4571260539481763,0.6311686426645511
2024-10-04,2024-10-04 09:54:00,0.49799770642729646,0.4646555537448365,0.6390704842230679
2024-10-04,2024-10-04 09:55:00,0.4902595825592695,0.45337657682275184,0.7308431181419519
2024-10-04,2024-10-04 09:56:00,0.483083714289477,0.44808068548987345,0.773733799079572
2024-10-04,2024-10-04 09:57:00,0.5157667638327885,0.45791744438870796,0.7824322632570944
2024-10-04,2024-10-04 09:58:00,0.5353467149912604,0.46296232970212564,0.7731761043025911
2024-10-04,2024-10-04 09:59:00,0.5304157964892446,0.4663723997935416,0.7101431792437805
2024-10-04,2024-10-04 10:00:00,0.5312385603182881,0.46242009819429825,0.7345205832876898
2024-10-04,2024-10-04 10:01:00,0.5519411968413523,0.4732665938258447,0.6582953228205752
2024-10-04,2024-10-04 10:02:00,0.5554250881707026,0.47376787777597895,0.6752898626465336
2024-10-04,2024-10-04 10:03:00,0.5524623591242315,0.47418015991599194,0.6837033810483402
2024-10-04,2024-10-04 10:04:00,0.5138763433240146,0.46033497921702105,0.6799309852426346
2024-10-04,2024-10-04 10:05:00,0.5269155120649178,0.4640301226757243,0.6737138165385875
2024-10-04,2024-10-04 10:06:00,0.5484439232051853,0.4706801459984853,0.6647107536199517
2024-10-04,2024-10-04 10:07:00,0.5613301391580034,0.4679400233302393,0.7208907936295199
2024-10-04,2024-10-04 10:08:00,0.5542658938669246,0.46566679207158573,0.6972053655265789
2024-10-04,2024-10-04 10:09:00,0.5574611346475293,0.4611632958724593,0.7322235941989594
2024-10-04,2024-10-04 10:10:00,0.5597939628835961,0.4556998556821057,0.816069848220891
2024-10-04,2024-10-04 10:11:00,0.5599563246634557,0.4516206473320444,0.8783583086808917
2024-10-04,2024-10-04 10:12:00,0.5401980519186912,0.4447901245870532,0.89937817627411
2024-10-04,2024-10-04 10:13:00,0.5476641365032545,0.44697883926894066,0.8915666652382386
2024-10-04,2024-10-04 10:14:00,0.5476147009869766,0.45044508300068903,0.8774043327527704
2024-10-04,2024-10-04 10:15:00,0.5446566744019927,0.4434924938714113,0.8924051926639898
2024-10-04,2024-10-04 10:16:00,0.5387791257388614,0.4418192528415942,0.8844257732255159
2024-10-04,2024-10-04 10:17:00,0.5353835898079294,0.4381396454119869,0.9049716312144834
2024-10-04,2024-10-04 10:18:00,0.5277447857019474,0.44089954552081106,0.8672404795633164
2024-10-04,2024-10-04 10:19:00,0.5282102842235158,0.44285056547316104,0.8704142063169922
2024-10-04,2024-10-04 10:20:00,0.5397310844117502,0.4530494927245231,0.815001077319689
2024-10-04,2024-10-04 10:21:00,0.5506694406868069,0.4602867874340151,0.7677580392748624
2024-10-04,2024-10-04 10:22:00,0.5441385133011337,0.45844765255155434,0.8081543003653132
2024-10-04,2024-10-04 10:23:00,0.5469857073989982,0.45979845706685896,0.8347501858420456
2024-10-04,2024-10-04 10:24:00,0.5643092580977264,0.462643433160554,0.841910214735395
2024-10-04,2024-10-04 10:25:00,0.5577176244838371,0.45936858795622854,0.8591086858896357
2024-10-04,2024-10-04 10:26:00,0.563065643510728,0.45979231740713356,0.8681727210650203
