date,implied_p,kalshi
2024-10-04,0.447,0.5
2024-10-07,0.5016122528987734,0.5
2024-10-08,0.4910741613066897,0.5
2024-10-09,0.5584346521571364,0.51
2024-10-10,0.6181582807226118,0.52
2024-10-11,0.43478633887715595,0.53
2024-10-14,0.31271481466248485,0.54
2024-10-15,0.3998740310150015,0.56
2024-10-16,0.30207452050667416,0.56
2024-10-17,0.40448148675876705,0.57
2024-10-18,0.3914853577945833,0.56
2024-10-21,0.2638408107043796,0.58
2024-10-22,0.2899374557326922,0.61
2024-10-23,0.15315710010478456,0.59
2024-10-24,0.49369667489242963,0.6
2024-10-25,0.5960844249456891,0.63
2024-10-28,0.5978268658820285,0.63
2024-10-29,0.6326301155828424,0.65
2024-10-30,0.7036867679585318,0.62
2024-10-31,0.5554056985895945,0.58
2024-11-01,0.8325406877332795,0.56
2024-11-04,0.9137836083353971,0.56
2024-11-05,0.8079892084201857,0.58
2024-11-06,1.0,0.97
