date,implied_p,kalshi
2024-10-04,0.447,0.5
2024-10-07,0.43642416337886736,0.5
2024-10-08,0.48985782926608323,0.5
2024-10-09,0.49558707118554784,0.51
2024-10-10,0.5739621666766431,0.52
2024-10-11,0.5078646630371999,0.53
2024-10-14,0.522648305628591,0.54
2024-10-15,0.5643719468198021,0.56
2024-10-16,0.5406122392155056,0.56
2024-10-17,0.6044392624012581,0.57
2024-10-18,0.623296293429941,0.56
2024-10-21,0.6194863561417174,0.58
2024-10-22,0.6011916105783025,0.61
2024-10-23,0.5125409980452382,0.59
2024-10-24,0.6039362978191098,0.6
2024-10-25,0.5446779085485172,0.63
2024-10-28,0.661712809732047,0.63
2024-10-29,0.704719283128324,0.65
2024-10-30,0.6884423713338228,0.62
2024-10-31,0.6113062150965933,0.58
2024-11-01,0.6816200304147397,0.56
2024-11-04,0.5277886512596079,0.56
2024-11-05,0.4988631180801236,0.58
2024-11-06,1.0,0.97
