ticker,beta,raw_beta_weight,final_dollar_neutral_weight
VFH,-0.938965615863252,-0.013676435075328541,-0.012464795102103257
VFH,-0.8892317602210448,-0.012952040234617497,-0.011740400261392213
VIS,-0.874535261438307,-0.012737979455350334,-0.01152633948212505
VFH,-0.8616086615852325,-0.012549698009631164,-0.01133805803640588
VFH,-0.8603214033696075,-0.012530948544140892,-0.011319308570915608
VFH,0.8383244775666028,0.012210553928492447,0.01342219390171773
VOX,0.8371493681008945,0.012193437957425297,0.01340507793065058
VFH,0.8365991247943253,0.012185423428745236,0.01339706340197052
VFH,-0.8363806474566313,-0.012182241213045404,-0.01097060123982012
VCR,-0.8259594447368543,-0.012030451946222428,-0.010818811972997144
VNQ,0.8228814977626736,0.011985620334450376,0.01319726030767566
VCR,-0.8073221435983007,-0.011758991698163784,-0.0105473517249385
VFH,-0.8018841171996285,-0.011679784521965978,-0.010468144548740694
VDC,-0.7953280537548483,-0.011584292658858894,-0.01037265268563361
VDE,-0.7953024213353558,-0.011583919311725527,-0.010372279338500243
VIS,0.7937422862858782,0.011561195278648653,0.012772835251873936
VGT,0.7915035804535879,0.01152858757241233,0.012740227545637613
VDE,0.7772668503815056,0.011321223520708685,0.012532863493933968
VDE,-0.7710829677234358,-0.011231152629658231,-0.010019512656432947
VOX,-0.7683132845061798,-0.011190811011115357,-0.009979171037890073
VGT,-0.7673308711434011,-0.011176501741056704,-0.00996486176783142
VDC,-0.7649399918314825,-0.011141677563120924,-0.00993003758989564
VAW,0.7549706830924127,0.010996470325057746,0.01220811029828303
VDC,0.7471239337136137,0.010882179070278565,0.012093819043503849
VDC,0.7297721291527001,0.010629442628700829,0.011841082601926112
VHT,0.7195485536507014,0.0104805318866794,0.011692171859904683
VIS,0.7172982775807419,0.010447755654991649,0.011659395628216933
VFH,-0.716653898148832,-0.010438369993455692,-0.009226730020230408
VIS,-0.7098750140967575,-0.010339632653072741,-0.009127992679847458
VNQ,0.7067017048701429,0.010293412049380205,0.011505052022605489
VAW,0.7053906048204155,0.010274315317397241,0.011485955290622525
VDE,-0.7015966387823961,-0.010219054582264497,-0.009007414609039213
VIS,-0.6985779731093744,-0.010175086427953279,-0.008963446454727995
VFH,-0.6983941565640048,-0.010172409061491668,-0.008960769088266384
VNQ,0.6957246784918829,0.010133526973669076,0.01134516694689436
VFH,-0.6899456671102011,-0.010049353205614222,-0.008837713232388938
VIS,-0.6875144345299606,-0.010013941265096983,-0.008802301291871699
VNQ,-0.6842605600155439,-0.009966547193591208,-0.008754907220365924
VDC,0.6842180983963109,0.009965928721978592,0.011177568695203876
VGT,-0.681488877952338,-0.009926176461003694,-0.00871453648777841
VOX,-0.6797153992587066,-0.009900344986665168,-0.008688705013439884
VCR,0.6771390055293427,0.009862818712036108,0.011074458685261392
VIS,0.6755270763591519,0.009839340275478156,0.01105098024870344
VAW,-0.6656446289214449,-0.009695398209353735,-0.008483758236128451
VOX,0.6615159620037144,0.00963526241301141,0.010846902386236694
VDE,0.6601607069625554,0.009615522544726795,0.010827162517952078
VAW,0.6595561995623452,0.00960671763635544,0.010818357609580723
VNQ,0.655998294550189,0.009554895230847859,0.010766535204073143
VDE,-0.6536072900533995,-0.009520069229540988,-0.008308429256315704
VOX,-0.6526116042248478,-0.009505566640351827,-0.008293926667126543
VIS,-0.6495422568841732,-0.009460860285913305,-0.008249220312688021
VPU,-0.6478124940161506,-0.009435665551238728,-0.008224025578013444
VGT,-0.6471979893687948,-0.009426715028694488,-0.008215075055469204
VAW,-0.6320447319069313,-0.009206001364258138,-0.007994361391032854
VFH,-0.6320101889919885,-0.009205498231954306,-0.007993858258729022
VHT,-0.6160053732653925,-0.008972381257829381,-0.007760741284604097
VIS,0.6150388260018868,0.008958303084280481,0.010169943057505765
VNQ,0.6121813517150694,0.008916682751328087,0.01012832272455337
VDE,-0.6111885343532157,-0.008902221942581041,-0.007690581969355757
VDE,-0.6041472437654417,-0.008799662538974256,-0.007588022565748972
VNQ,0.6011600734031868,0.008756153127310906,0.00996779310053619
VAW,-0.6002773406393119,-0.00874329574773274,-0.007531655774507456
VIS,-0.5995951689819571,-0.008733359626298235,-0.007521719653072951
VGT,0.578775846217662,0.008430117301672303,0.009641757274897586
VIS,0.5739980019093891,0.008360525959478109,0.009572165932703392
VDE,-0.5734257231573278,-0.008352190475126682,-0.007140550501901398
VOX,-0.5709606356426578,-0.00831628542303551,-0.007104645449810227
VDC,0.56696336100411,0.008258063411335866,0.00946970338456115
VCR,-0.564244105797844,-0.008218456298302706,-0.007006816325077422
VIS,-0.5641921316509615,-0.008217699272663614,-0.00700605929943833
VNQ,0.5627948066330272,0.008197346637205987,0.009408986610431271
VFH,-0.5624344775505434,-0.008192098290281365,-0.006980458317056081
VGT,-0.561255206547794,-0.008174921704650492,-0.006963281731425209
VOX,0.5582416291103478,0.008131027662662792,0.009342667635888076
VAW,0.556669643228271,0.008108131017149536,0.00931977099037482
VDC,0.5553178060117692,0.008088440930940254,0.009300080904165538
VOX,-0.5501338661286616,-0.008012934633320881,-0.006801294660095597
VAW,-0.5419512099596905,-0.007893750752731406,-0.006682110779506123
VDE,-0.5406354717521644,-0.0078745864639999,-0.006662946490774617
VCR,-0.5331938423903749,-0.007766195955229668,-0.006554555982004384
VDE,-0.5254755582038266,-0.0076537758508223135,-0.00644213587759703
VGT,-0.5241820302751764,-0.007634935064285051,-0.006423295091059767
VFH,0.5202129233310941,0.007577123327081159,0.008788763300306443
VCR,0.5201594978252727,0.007576345161779481,0.008787985135004764
VCR,0.5177477434107219,0.007541216929061485,0.008752856902286768
VIS,-0.5176494473111717,-0.007539785204405177,-0.006328145231179893
VDC,0.5145616396794991,0.007494809967946865,0.008706449941172149
VDC,-0.5045523372643536,-0.0073490202049168165,-0.006137380231691533
VAW,0.4991412602631619,0.007270205558199041,0.008481845531424325
VDC,0.4926598566768114,0.007175801147805131,0.008387441121030414
VDC,0.4732812625909596,0.006893543651482821,0.008105183624708105
VGT,0.4677361397044092,0.006812776569215487,0.00802441654244077
VOX,0.4663617541067623,0.006792758056208061,0.008004398029433344
VFH,-0.4649569342088018,-0.006772296254623002,-0.005560656281397718
VNQ,-0.4623706387123166,-0.006734625756528377,-0.005522985783303094
VNQ,0.4599019185564346,0.006698667793467042,0.007910307766692326
VNQ,0.4582942566692859,0.006675251511708466,0.00788689148493375
VOX,-0.4561833996802011,-0.006644505978456984,-0.0054328660052317
VPU,0.4462122416583912,0.006499271804801167,0.0077109117780264505
VFH,0.4453563589948262,0.006486805508397347,0.007698445481622631
VDE,0.4387953816742465,0.006391242072591324,0.0076028820458166075
VAW,-0.4378587775161719,-0.006377600033156884,-0.0051659600599316
VNQ,-0.413030905849312,-0.006015971482362484,-0.0048043315091372005
VGT,-0.4125804764543087,-0.006009410785918751,-0.004797770812693467
VIS,0.3921468125736081,0.00571178574758488,0.006923425720810164
VDC,-0.3797300777634065,-0.005530930703896011,-0.004319290730670727
VDE,-0.3776797795354041,-0.005501067234854541,-0.0042894272616292575
VIS,0.3615962934131807,0.005266804392829908,0.006478444366055192
VOX,0.3492131709697266,0.0050864389276131195,0.006298078900838403
VGT,-0.3462045861263661,-0.005042617604889808,-0.003830977631664524
