ticker,beta
VFH,-0.938965615863252
VFH,-0.8892317602210448
VIS,-0.874535261438307
VFH,-0.8616086615852325
VFH,-0.8603214033696075
VFH,0.8383244775666028
VOX,0.8371493681008945
VFH,0.8365991247943253
VFH,-0.8363806474566313
VCR,-0.8259594447368543
VNQ,0.8228814977626736
VCR,-0.8073221435983007
VFH,-0.8018841171996285
VDC,-0.7953280537548483
VDE,-0.7953024213353558
VIS,0.7937422862858782
VGT,0.7915035804535879
VDE,0.7772668503815056
VDE,-0.7710829677234358
VOX,-0.7683132845061798
VGT,-0.7673308711434011
VDC,-0.7649399918314825
VAW,0.7549706830924127
VDC,0.7471239337136137
VDC,0.7297721291527001
VHT,0.7195485536507014
VIS,0.7172982775807419
VFH,-0.716653898148832
VIS,-0.7098750140967575
VNQ,0.7067017048701429
VAW,0.7053906048204155
VDE,-0.7015966387823961
VIS,-0.6985779731093744
VFH,-0.6983941565640048
VNQ,0.6957246784918829
VFH,-0.6899456671102011
VIS,-0.6875144345299606
VNQ,-0.6842605600155439
VDC,0.6842180983963109
VGT,-0.681488877952338
VOX,-0.6797153992587066
VCR,0.6771390055293427
VIS,0.6755270763591519
VAW,-0.6656446289214449
VOX,0.6615159620037144
VDE,0.6601607069625554
VAW,0.6595561995623452
VNQ,0.655998294550189
VDE,-0.6536072900533995
VOX,-0.6526116042248478
VIS,-0.6495422568841732
VPU,-0.6478124940161506
VGT,-0.6471979893687948
VAW,-0.6320447319069313
VFH,-0.6320101889919885
VHT,-0.6160053732653925
VIS,0.6150388260018868
VNQ,0.6121813517150694
VDE,-0.6111885343532157
VDE,-0.6041472437654417
VNQ,0.6011600734031868
VAW,-0.6002773406393119
VIS,-0.5995951689819571
VGT,0.578775846217662
VIS,0.5739980019093891
VDE,-0.5734257231573278
VOX,-0.5709606356426578
VDC,0.56696336100411
VCR,-0.564244105797844
VIS,-0.5641921316509615
VNQ,0.5627948066330272
VFH,-0.5624344775505434
VGT,-0.561255206547794
VOX,0.5582416291103478
VAW,0.556669643228271
VDC,0.5553178060117692
VOX,-0.5501338661286616
VAW,-0.5419512099596905
VDE,-0.5406354717521644
VCR,-0.5331938423903749
VDE,-0.5254755582038266
VGT,-0.5241820302751764
VFH,0.5202129233310941
VCR,0.5201594978252727
VCR,0.5177477434107219
VIS,-0.5176494473111717
VDC,0.5145616396794991
VDC,-0.5045523372643536
VAW,0.4991412602631619
VDC,0.4926598566768114
VDC,0.4732812625909596
VGT,0.4677361397044092
VOX,0.4663617541067623
VFH,-0.4649569342088018
VNQ,-0.4623706387123166
VNQ,0.4599019185564346
VNQ,0.4582942566692859
VOX,-0.4561833996802011
VPU,0.4462122416583912
VFH,0.4453563589948262
VDE,0.4387953816742465
VAW,-0.4378587775161719
VNQ,-0.413030905849312
VGT,-0.4125804764543087
VIS,0.3921468125736081
VDC,-0.3797300777634065
VDE,-0.3776797795354041
VIS,0.3615962934131807
VOX,0.3492131709697266
VGT,-0.3462045861263661
