ticker,beta,raw_minvar_weight,final_dollar_neutral_weight
VAW,-0.2894390477776796,-0.503178544941033,-0.5463252689452731
VCR,0.4106880426661917,0.054715604837567974,0.03541269824100062
VDC,0.4926598566768114,0.30905679724265883,0.3006241694496305
VDE,-0.3759314276869679,0.004747712521285173,-0.016690769974596623
VFH,-0.5624344775505434,-0.523633264810253,-0.5676542023295127
VGT,0.4187335972656205,0.008548008934988758,-0.01272805283319883
VHT,0.2289435803579957,0.046164578796863816,0.026496210215001013
VIS,0.4595952963475714,0.5699768154501581,0.5726956386530134
VNQ,0.4599019185564346,0.14941182160538996,0.13415613311050983
VOX,0.3972486537034462,0.07073873777502103,0.052120643263705184
VPU,0.3349050059364704,0.04174985063500832,0.02189280114972044
