ticker,beta,chosen_side,chosen_contract,t_stat,se,n_obs,p_value
VAW,-0.2894390477776796,Trump,KXECDJT270,-1.4182976502375124,0.20407496813465725,24,0.1701147324320663
VCR,0.4106880426661917,Harris,KXECKH270,-1.7444943561981905,0.23541953071216115,17,0.1015216465886108
VDC,0.4926598566768114,Trump,KXECDJT270,2.6553909842804693,0.18553194598960623,24,0.0144515627599387
VDE,-0.3759314276869679,Trump,KXECDJT270,-1.9028538050902597,0.1975619076364808,24,0.0702281727767983
VFH,-0.5624344775505434,Trump,KXECDJT270,-3.190515225162604,0.17628327647986042,24,0.0042254168415876
VGT,0.4187335972656205,Harris,KXECKH270,-1.7858517355547017,0.2344727666519069,17,0.0943506336687265
VHT,0.2289435803579957,Harris,KXECKH270,-0.9108881421282388,0.25134104811495506,17,0.3767603036925339
VIS,0.4595952963475714,Harris,KXECKH270,-2.004220117397186,0.22931378263203572,17,0.0634470525686854
VNQ,0.4599019185564346,Trump,KXECDJT270,2.4292846432692263,0.18931578060672152,24,0.023748779101565
VOX,0.3972486537034462,Harris,KXECKH270,-1.6764944463754632,0.23695196519277908,17,0.1143527380789093
VPU,0.3349050059364704,Trump,KXECDJT270,1.6671165356574298,0.2008887793824204,24,0.1096656466538988
