date,implied_p,kalshi
2024-10-04,0.447,0.5
2024-10-07,0.45579619826394446,0.5
2024-10-08,0.5188812365656891,0.5
2024-10-09,0.5178438993606593,0.51
2024-10-10,0.561601958151006,0.52
2024-10-11,0.5713438853948077,0.53
2024-10-14,0.644746890976726,0.54
2024-10-15,0.6101851807363471,0.56
2024-10-16,0.653433173940489,0.56
2024-10-17,0.6421867976795879,0.57
2024-10-18,0.6555487165071524,0.56
2024-10-21,0.6629399080045668,0.58
2024-10-22,0.6814808537639541,0.61
2024-10-23,0.6460393186741304,0.59
2024-10-24,0.6869064315558743,0.6
2024-10-25,0.6976750271657606,0.63
2024-10-28,0.7735899771628032,0.63
2024-10-29,0.834237045692751,0.65
2024-10-30,0.7252240208859664,0.62
2024-10-31,0.6382491177143488,0.58
2024-11-01,0.6515839955754759,0.56
2024-11-04,0.6176724192346332,0.56
2024-11-05,0.6324676892387014,0.58
2024-11-06,1.0,0.97
